,BUS CCSDS_TAI_SEC,PL UNIX TIME,PL UTC TIME,APID_VALID,CRC_VALID,FPGA_COUNTER,0,1,2,3,4,32,33,34,35,36,37,38,47,48,53,54,57,60,61,62,63,96,97,200,201,202,203,204,205,300,301,302,303,602,603,604,605,606,607,608,609,610,611,DAC_1_A,DAC_1_B,DAC_1_C,DAC_1_D,DAC_2_A,DAC_2_B,DAC_2_C,DAC_2_D
47,731762077,731762037,2023-03-10 11:13:59 UTC,1,1,47,7,5,120,14,33,15,85,85,85,85,15,15,0,2,180,9,248,2,255,255,97,5,127,15.292203903198242,15.830090522766112,16.271072387695312,15.31662654876709,15.341053009033203,14.779881477355955,0.1594059467315673,0.0557920783758163,0.2454851418733596,0.4224257469177246,0,2,0,13.399999618530272,-2.0,-100.0,0,8,0,16.0,0,0,0,0,0,0,0,0
48,731762082,731762042,2023-03-10 11:14:04 UTC,1,1,48,7,5,118,14,33,15,85,85,85,85,15,15,0,2,43,9,248,2,255,255,97,5,125,15.072504043579102,15.756671905517578,16.369176864624023,15.194534301757812,15.31662654876709,14.755512237548828,0.1665792018175125,0.0549950487911701,1.49602472782135,0.2941039502620697,0,1,1,13.5,-2.200000047683716,18.899999618530277,134,259,778,16.0,0,0,0,0,0,0,0,0
49,731762087,731762047,2023-03-10 11:14:09 UTC,1,1,49,15,5,118,14,33,15,85,85,85,85,15,15,0,27,16,9,248,27,255,255,97,5,125,15.292203903198242,15.781142234802246,16.393709182739258,15.292203903198242,15.341053009033203,14.706781387329102,0.1578118801116943,0.0709356442093849,1.4904454946517944,0.2470792084932327,0,1,1,13.800000190734863,-17.700000762939453,43.59999847412109,138,300,2203,16.0,0,0,0,0,0,0,0,0
50,731762092,731762052,2023-03-10 11:14:14 UTC,1,1,50,15,5,118,14,33,15,85,85,85,85,15,15,0,29,112,9,248,29,255,255,97,5,125,15.267782211303713,15.756671905517578,16.467321395874023,15.48766040802002,15.414345741271973,14.63370418548584,0.1370891034603119,0.082094058394432,1.4848663806915283,0.3028712868690491,0,1,1,14.300000190734863,-17.700000762939453,43.59999847412109,138,304,2210,16.0,0,0,0,0,0,0,0,0
51,731762097,731762057,2023-03-10 11:14:19 UTC,1,1,51,15,5,118,14,33,15,85,85,85,85,15,15,0,29,230,9,248,29,255,255,97,5,125,15.31662654876709,15.854568481445312,16.442781448364258,15.560997009277344,15.389911651611328,14.438937187194824,0.1362920850515365,0.0677475258708,1.4625494480133057,0.3483019769191742,0,1,1,14.800000190734863,-17.700000762939453,43.59999847412109,139,304,2211,17.0,0,0,0,0,0,0,0,0
52,731762101,731762062,2023-03-10 11:14:24 UTC,1,1,52,15,5,118,14,33,15,85,85,85,85,15,15,0,29,147,9,248,29,255,255,97,5,125,15.292203903198242,16.050479888916016,16.369176864624023,15.536548614501951,15.267782211303713,14.706781387329102,0.1482475250959396,0.0541980192065238,1.451391100883484,0.3849653601646423,0,1,1,15.199999809265137,-17.700000762939453,43.59999847412109,139,304,2211,17.0,0,0,0,0,0,0,0,0
53,731762107,731762067,2023-03-10 11:14:29 UTC,1,1,53,15,5,118,14,33,15,85,85,85,85,15,15,0,3,249,9,248,3,255,255,97,5,125,15.389911651611328,15.95250415802002,16.516408920288086,15.536548614501951,15.218948364257812,14.658061027526855,0.1434653401374817,0.058183167129755,1.4776930809020996,0.2558465301990509,0,1,1,15.5,-17.700000762939453,43.59999847412109,138,304,2211,17.0,0,0,0,0,0,0,0,0
54,731762112,731762072,2023-03-10 11:14:34 UTC,1,1,54,15,5,118,14,33,15,85,85,85,85,15,15,0,29,89,9,248,29,255,255,97,5,125,15.46321964263916,16.295595169067383,16.467321395874023,15.634356498718262,15.292203903198242,14.56064796447754,0.1323069334030151,0.0366633646190166,1.4840693473815918,0.1944752484560012,0,1,1,15.800000190734863,-17.700000762939453,43.59999847412109,139,304,2211,17.0,0,0,0,0,0,0,0,0
55,731762117,731762077,2023-03-10 11:14:39 UTC,1,1,55,15,5,118,14,33,15,85,85,85,85,15,15,0,29,255,9,248,29,255,255,97,5,125,15.389911651611328,16.344646453857422,16.418245315551758,15.658814430236816,15.36548137664795,14.536300659179688,0.1474504917860031,0.0462277233600616,1.470519781112671,0.1346980184316635,0,1,1,16.0,-17.700000762939453,43.59999847412109,138,304,2211,18.0,0,0,0,0,0,0,0,0
56,731762122,731762082,2023-03-10 11:14:44 UTC,1,1,56,15,5,118,14,33,15,85,85,85,85,15,15,0,29,242,9,248,29,255,255,97,5,125,15.658814430236816,16.12398910522461,16.516408920288086,15.732203483581545,15.46321964263916,14.536300659179688,0.152232676744461,0.0462277233600616,1.4474059343338013,0.3084504902362823,0,1,1,16.200000762939453,-17.600000381469727,43.59999847412109,138,304,2211,18.0,0,0,0,0,0,0,0,0
57,731762127,731762087,2023-03-10 11:14:49 UTC,1,1,57,15,5,118,14,33,15,85,85,85,85,15,15,0,29,181,9,248,29,255,255,97,5,125,15.560997009277344,16.369176864624023,16.761995315551758,15.854568481445312,15.46321964263916,14.463274955749512,0.1530297100543975,0.0725297033786773,1.470519781112671,0.3961237668991089,0,1,1,16.399999618530273,-17.600000381469727,43.59999847412109,138,304,2211,18.0,0,0,0,0,0,0,0,0
58,731762132,731762092,2023-03-10 11:14:54 UTC,1,1,58,15,5,118,14,33,15,85,85,85,85,15,15,0,29,242,9,248,29,255,255,97,5,125,15.438780784606934,16.540956497192383,16.712858200073242,15.781142234802246,15.512103080749512,14.511956214904783,0.1952722817659378,0.0661534667015075,1.4673316478729248,0.2271534651517868,0,1,1,16.600000381469727,-17.600000381469727,43.59999847412109,138,304,2211,19.0,0,0,0,0,0,0,0,0
59,731762137,731762097,2023-03-10 11:14:59 UTC,1,1,59,15,5,118,14,33,15,85,85,85,85,15,15,0,29,254,9,248,29,255,255,97,5,125,15.658814430236816,16.66373062133789,16.66373062133789,15.976994514465332,15.536548614501951,14.317288398742676,0.1219455450773239,0.0685445517301559,1.487257480621338,0.1609999984502792,0,1,1,16.700000762939453,-17.700000762939453,43.59999847412109,138,304,2211,19.0,0,0,0,0,0,0,0,0
60,731762142,731762102,2023-03-10 11:15:04 UTC,1,1,60,15,5,118,14,33,15,85,85,85,85,15,15,0,29,101,9,248,29,255,255,97,5,125,15.805614471435549,16.83572006225586,16.83572006225586,16.050479888916016,15.60990047454834,14.487614631652832,0.1514356434345245,0.0534009896218776,1.4306683540344238,0.3538811802864074,0,1,1,16.899999618530273,-17.600000381469727,43.59999847412109,138,304,2211,19.0,0,0,0,0,0,0,0,0
